སྨན་མིང་།	རང་བཞིན།	ཕན་ནུས།
བཅད་སྦྱོར།	ཅུང་བསིལ། བཟི་མེད།	བཙད་སྦྱོར་མར་ཁུར་བསྐོལ་ནས་རྨ་ཁ་རུ། །བཏབ་པས་རྨ་རིགས་འཕྲལ་དུ་གསོས་པར་འགྱུར། །<56>
བཅད་འབྱོར་བདུན་པའི་རྨ་རྩི།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རྨ་ཡི་རིགས་རྣམས་འབྱོར་བར་བྱེད།
བཙའ་སྒྲའི་ཆིག་ཐང༌།	དྲོ་བ། བཟི་མེད།	མེ་དྲོད་འཕེལ་བ་དང་། གྲང་རླུང་བད་ཀན་ནད་ལ་ཕན་པར་འདུག
བཅའ་སྒ་སུམ་ཐང་།	དྲོ་བ། བཟི་མེད།	བྱིས་པའི་མཆིན་ནད་ཚ་གྲང་ཀུན་དང་། མཆིན་པ་ཆེར་རྒྱས་པར་ཕན།
བཅུད་ལེན་བདུད་རྩི་ལྔ་སྦྱོར།	ཅུང་བསིལ། བཟི་མེད།	ལུས་སྟོབས་འཕེལ་ཞིང་དབང་པོ་གསལ། རོ་ཙ་སྐྱེད་པར་བྱེད།
བཅུད་ལེན་སྨན་མར།	དྲོ་བ། བཟི་མེད།	མཁལ་དྲོད་གསོ་ཞིང་ཚེ་སྟོབས་འཕེལ། དབང་གསལ་མདངས་བཀྲ་འདོད་པ་འཕེལ། །<57>
ལྕགས་ཕྱེ་ལྔ་ཐང་།	བསིལ་བ། བཟི་མེད།	ཁུ་བ་གྲང་བཏང་མིག་ནད་སེལ་བར་བྱེད། །
ལྕགས་ཕྱེ་བདུན་པའི་རིལ་བུ། (ཟླ་ཤེལ་བདུད་རྩི་མ།)	བསིལ་བ། བཟི་མེད།	ཕོ་མཆིན་ནད་དང་ལུས་ཟུངས་གསོ་བར་བྱེད།
ལྕགས་ཕྱེ་བརྒྱད་པ།	བསིལ་ཆེ། བཟི་མེད།	མཆིན་ནད་ཚ་གྲང་ཀུན་ལ་ཕན། །
ལྕགས་ཕྱེ་བཅུ་པ།	དྲོ་བ། བཟི་མེད།	མཆིན་ནད་སེལ། ཆུ་འབེབས། སྐྲངས་པོ་གཞོམ་པ་སྟེ། མཆིན་ནད་དུག་ཐབས་ལས་གྱུར་པའི་སྐྱ་རྦབ་ནད་རིགས་སེལ་བར་བྱེད། །
ལྕགས་ཕྱེ་བཅོ་ལྔ།	དྲོ་བ། བཟི་མེད།	ཆུ་འབེབས་ཤིང་། སྦྱངས་པོ་གཞོམ་པ་སྟེ། བད་ཀན་སྐྱ་རྦབ་དང་འོར། དམུ་ཆུ་སོགས་སེལ་བར་བྱེད།
ལྕགས་ཕྱེ་བཅོ་བརྒྱད།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།<58>	རླུང་དང་མཁྲིས་པ་བད་ཀན་གསུམ། །གང་ལ་བཏང་ཡང་འདི་མཚུངས་བསྒྱུར། །སྐྱ་རྦབ་འོར་དང་དམུ་ཆུ་གསུམ། །གང་ལ་བཏང་ཡང་འདི་མཚུངས་མེད། །
ལྕུམ་རྩའི་ཆིག་ཐང་།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ལྕུམ་རྩའི་ཆིག་ཐང་དུག་ཚད་སྦྱོང་བ་དང་། །ཤ་འཐོགས་བཙས་རྗེས་ནད་ལ་མཆོག་ཏུ་ཕན། །
ལྕུམ་རྩ་སུམ་ཐང་།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མ་ཞུ་དུག་ཚད་སེལ་དང་ཤ་དུག་སེལ། །གཞན་ཡང་སྦྱར་དུག་ལ་སོགས་དུག་རིགས་ལ། །ཐོག་མར་ལན་འགའ་བཏང་ན་ཕན་ངེས།
ལྕུམ་རྩ་བཅོ་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རླུང་མཁྲིས་བད་ཀན་གསར་རྙིང་ཟས་མ་ཞུ། །ཁྱད་པར་མོ་ནད་ཟླ་མཚན་འགག་བཙས་རྗེས། །ཤ་རོ་མ་ཐོན་ལ་སོགས་ནད་ལ་ཕན། །<59>
ཆ་མཉམ་བཞི་ཐང་། །	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རྒྱམ་ཚྭ་བཞི་ཐང་ཞེས་གྲགས་གླིང་ཐང་མཆོག །མ་ཞུ་གྲང་རླུང་ཁོང་ནད་ཀུན་ལ་ཕན། །
ཆམ་འཇོམས་དཔའ་བོ་བཅུ་བཞི།	བསིལ་བ། བཟི་ཆེ།	ཆམ་འཇོམས་དཔའ་བོ་བཅུ་བཞི་ཞེས་པ་འདིས། །གཉན་ཚད་རིམས་ལས་གྱུར་པ་སྤྱི་ཁྱབ་དང་། །ཁྱད་པར་ཚམ་པའི་རིགས་ཀུན་དྲུང་ཕྱུངས་པའི། །གསང་བའི་སྨན་གཅིག་གདམས་པ་ཟབ་མོ་ཡིན། །
ཆིག་ཐུབ་རིལ་བུ། (སྲིན་གླིང་རིལ་བུ།)	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཆེ།	ཆིག་ཐུབ་རིལ་བུ་ཕོ་སྲིན་གླང་ཐབས་ལ། །མཆོག་གྱུར་དྷརྨ་སེང་གེའི་ཁྱད་ཆོས་སོ། །
ཆུ་འདྲེན་ཟླ་ཤེལ་བདུད་རྩི།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཆུ་འདྲེན་ཟླ་ཤེལ་བདུད་རྩི་ཐིགས་པ་འདིས། །འདུས་ནད་སྨུག་པོའི་གྲོང་ཁྱེར་འཇོམས་པར་བྱེད། །ཁྱད་པར་དུག་སྨུག་ཁྲག་ཏུ་འཁྲུ་སྐྱུགས་དང་། །ཚ་བ་བྱེར་རྙིང་གབ་ཚད་འཇམ་འཁྲུགས་དང་། །ཆུ་ནད་བྱེར་འགྱིངས་སྨུག་པོའི་ཟགས་ཆུ་སོགས། །མདོར་ན་ལྡན་འདུས་ནད་ལ་ཕ་ལམ་ཡིན། །<60>
ཆུ་སྨན་རྣོན་པོ་གསུམ་ཐང་།	དྲོ་བ། བཟི་མེད།	སྐྱ་རྦབ་དང༌། འོར། དམུ་ཚུའི་རིགས་ཀྱིས་རྐང་བོལ་དང་མིག་ལྕིབས། ངོ་གདོང་སོགས་གཡོ་སྐྲངས་བྱུང་བ་གཞོམ་པར་བྱེད།
ཆུ་རྩི་ཉེར་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཆུ་སྨན་ཁྱད་པར་ཆུ་རྩི་ཉེར་ལྔ་འདིས། །ཚ་གྲང་ལྡན་སོགས་ཆུ་ནད་གང་ཡིན་ཡང་། །ཐེམ་བྲལ་རྫ་མའི་ཆུ་ལ་འགྲན་པ་བཞིན། །རིམ་པར་གསང་བའི་ལམ་ནས་འདྲོངས་པས་ངེས། །
ཆུ་སྲིན་སྡེར་མོ་དགུ་བ།	བསིལ་བ། བཟི་མེད།	སྣོད་དུ་ཚ་གྲང་འཐབ་དང་སྨུག་སེར་འཇོམས། །
ཆོས་ཉིད་དམར་པོ།	བསིལ་བ། བཟི་ཅུང་ཡོད།	མོ་ནད་རྩ་བྱེར་དང་། ཆུ་སེར་རུས་ལ་ཞེན་པ་དང་། །དྲེག་དང་གྲུམ་བུ་རྩ་དཀར་དང་། །རྐང་འབམ་མཁལ་ནད་ཤུ་ཐོར་རིགས། །མཛེ་ནད་ཆུ་སེར་མཐའ་དག་སེལ། །
ཆོས་རྗེའི་སྒྲུང་དྲུག	བསིལ་བ། བཟི་ཡོད།	གག་ལྷོག་གཉན་གཟེར་ས་གདོན་མ་ལུས་འཇོམས།
མཆིན་ཚད་སེལ་བའི་གུར་གུམ་བརྒྱུད་པ།	བསིལ་བ། བཟི་མེད།	མཆིན་ཚད་དང་མཁྲིས་ཚད་སེལ་བར་བྱེད།
མཆིན་ཚད་སེལ་བའི་བྲག་ཞུན་ཉེར་ལྔ།	བསིལ་བ། བཟི་མེད།	མཆིན་ནད་སྤྱི་དང་ཁྱད་པར་མཆིན་ཚད་སེལ། །ཕོ་མཆིན་མཁྲིས་པ་སྦྲགས་གཟེར་ཕོ་བ་སྦོས། །ལྷག་པར་ཟུག་གཟེར་འཇོམས་པའི་མཆོག་ཏུ་བཤད། །
མཆིན་ཚད་སེལ་བའི་གི་ཝང་ཉེར་ལྔ།	ཅུང་བསིལ། བཟི་མེད།	མཆིན་མཁྲིས་ཚད་པ་གསར་རྙིང་དང་། །སྨུག་པོ་མཆིན་ཚད་རྒྱས་པ་འཇོམས། །སྨན་པ་ལག་རྡུགས་བྱུང་བར་བསྔགས། །
མཆིན་ནད་སེལ་བྱེད་ཉེར་ལྔ།	བསིལ་བ། བཟི་མེད།	དུག་དང་སྨུག་པོ་མཁྲིས་བབས་དང་། །མཆིན་ཁྲག་རྒྱས་དང་མཆིན་དྲི་དང་། །ཕོ་མཆིན་ཁྲག་འདྲིལ་ལྷུང་བ་སེལ། །<62>
མཆིན་ཚད་སེལ་བའི་གུར་གུམ་བདུན་པ།	བསིལ་བ། བཟི་མེད།	མཆིན་ཚད་ཀུན་སེལ་བར་བྱེད།
མཆིན་སྨན་བདུད་རྩིའི་ཐིགས་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཁྲག་མཁྲིས་འཁྲུགས་ཚད་གློ་ནད་ནི། །བདེ་སྨུག་སྟོད་དུ་གཟེར་བ་དང༌། །མཆིན་ནད་ཆང་འཐུང་བྱད་སྨུག་དང་། །ཁྱད་པར་འཕགས་པའི་སྨན་མཆོག་ཡིན། །
མཆིན་སྐྲན་ཀུན་བཤིག་འཕྲུལ་ཐལ་ལྔ་པ།	ཅུང་དྲོད། བཟི་མེད།	མཆིན་སྐྲན་མ་ལུས་རྩད་ནས་བཤིག་པར་བྱེད།
འཆི་མེད་སྲིན་སེལ། (བྱི་ཏང་དྲུག་པ།)	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཅུང་ཡོད།	འཆི་མེད་སྲིན་སེལ་ཞེས་གྲགས་པས། །མགོ་སྲིན་སོ་སྲིན་ཁོང་སྲིན་དང་། །གཞང་སྲིན་ལྤགས་སྲིན་ལ་སོགས་པ། །ཚ་སྲིན་གྲང་སྲིན་བརྟག་མི་དགོས། །སྲིན་གྱི་གྲོང་ཁྱེར་ཀུན་འཇོམས་ཤིང་། །མཆོག་ཏུ་གཉན་སྲིན་གླང་ཐབས་སེལ། །
འཆི་མེད་ཨར་བརྒྱུད། (ཏང་ཀུན་བརྒྱད་པ།)	ཅུང་བསིལ། བཟི་མེད།	འཆི་མེད་ཨ་བརྒྱད་སྟོད་འཚང་འཕྲལ་དུ་སེལ། །སྟོད་ཀྱི་རླུང་ཁྲག་འཁྲུགས་པ་ལས་གྱུར་པའི། །ནད་རིགས་ཀུན་སེལ་བདུད་རྩི་ཇིས་སྦྱར་དགེ།<63>
འཆི་མེད་བཅད་འབྱོར།	བསིལདྲོད་སྙོམས་པ། བཟི་མེད།	ཁོང་དུ་བཏང་བས་མེ་གཏར་ཆིངས་དང་ནི། །དྲས་དྲུབ་མི་དགོས་རྩ་མཐུད་ཞོམ་པ་འདེགས། །གས་པ་སྦྱོར་ཞིང་ཆུ་རྒྱུས་འཁུམས་པ་སྐྱོང་། །ཆག་པ་སྒྲིག་ཅིང་རུས་འཛེར་གྱེན་དུ་འབུད། །རྨ་ཆུའི་གདམས་པ་འཆི་མེད་བཅད་འབྱོར་ཡིན། །
འཆི་གསོས་རྡོ་བཅུད་བཅུ་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བྲང་ཚ་ཆུ་ཚན་སྐྱུགས་པ་སོགས། །འདུས་ནད་མ་ལུས་སེལ་བར་བྱེད། །
འཆི་གསོས་བེ་དོ་བཅུ་གསུམ།	བསིལ་ཆེ། བཟི་མེད།	རྒྱུ་གཟེར་འབྲུམ་རིགས་ཁྲག་མཁྲིས་ཚད། །རྒྱུས་ཚད་རྙིང་ཚད་གག་ལྷོག་དང་། །རིམས་ནད་གཟེར་ཐུང་སེལ་བའི་མཆོག །<64>
འཇམ་འབྲས་དྲུག་པ།	དྲོ་བ། བཟི་མེད།	མ་ཞུ་སྦོ་སྒྲེག་འགྱིངས་པ་འཇོམས་པ་དང་། ཁྱད་པར་ཕོ་བའི་མེ་དྲོད་སྐྱེད་པའི་མཆོག །
འཇམ་དབྱངས་ཟིལ་ཅན་གྱི་སྦྱོར་བ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཕོ་བའི་མེ་དྲོད་བཟང་ན་ཐོ་རངས་དང་། །ངན་ན་སྲོད་དང་དྲོ་གུང་ཁྱེམ་རེ་ཟ། །སྤྱོད་ལམ་ལུས་བཅག་ལ་འབད་ཁ་ཟས་ནི། །བཅུད་ལེན་སྤྱི་འགྲོ་ལྟར་དུ་ཤེས་པར་བྱ། །བད་མཁྲིས་ཤ་སྦྱོར་སྤང་བ་ལྷག་ཏུ་བསྔགས། །<65>
ཉ་ཕྱིས་བཅུ་གསུམ། (ཤེས་བརྩོན་རིལ་བུ།)	བསིལ་བ། བཟི་ཅུང་ཡོད།	རྩ་གྲིབ་ནད་དང་གྲུམ་བུར་ཕན་པ་ཡིན།
ཉ་ཕྱིས་ཉེར་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རྩ་དཀར་ཚ་ཤས་ཆེ་བའི་ནད་རིགས་སེལ།
ཉ་ཕྱིས་སོ་གཅིག (བསམ་འཕེལ་ནོར་བུ།)	ཅུང་བསིལ། བཟི་མེད།	རྩ་དཀར་རྩ་གྲིབ་ནད་ལ་ཕན་པ་ཡིན།
ཉེ་ཤིང་ཁཎྜ།	དྲོ་བ། བཟི་མེད།	ཤ་བཀྲ་ཤ་ཁེབས་ནད་ལ་བྱུག་པས་ཕན།
ཉི་མ་ལྔ་ཕྱེ།	བསིལ་བ། བཟི་མེད།	ཉི་མ་ལྔ་ཡིས་རྒྱ་མཚོ་སྐེམ་པ་ལྟར། །ཁྲག་དང་ཆུ་སེར་རྣག་གི་རྒྱ་མཚོས་སྐེམས། །<66>
ཉི་ཟླ་གྱེན་ལྡོག	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	གཉེན་པོ་སྦྲང་དང་སྦྱར་བའི་ལྡེ་གུ་ཡིས། །རྒྱུ་གཟེར་ཟུག་གཅོག་འཁྲུ་གཅོད་ཅིག་ཅར་འབྱུང་། །
ཉི་ཁྱུང་།	དྲོ་བ། བཟི་ཅུང་ཡོད།	ཉི་ཁྱུང་གྲང་བ་སྨད་བྱེར་གཉན་གཟེར་འཇོམས། །
ཉི་ཟླ་གྱེན་བཟློག	དྲོ་བ། བཟི་མེད།	ཉི་ཟླ་གྱེན་བཟློག་ཚོས་གསུམ་ཁུ་བས་དབུལ། །ཁྲག་འཁྲུགས་སྨད་ཀྱི་གྲང་བ་སེལ་བ་དང་། །རྩ་ཁ་བསྡོམས་ཞིང་མཁལ་རྩ་འགྲམ་བྱེར་སོགས། །ཕན་ཡོན་ཟབ་ཁྱད་ལག་ཏུ་ལོང་དང་གསལ། །
ཉེ་ཤིང་ལྔ་ཐང༌།	དྲོ་བ། བཟི་མེད།	གྲང་བ་ཆུ་སེར་ནད་ལ་བདུད་རྩི་མཚུངས།
ཉེ་ཤིང་བདུན་པ།	བསིལ་བ། བཟི་མེད།	མཁྲིས་པ་ལས་གྱུར་པའི་དྲེག་གི་ནད་ལ་ཕན།
གཉན་འཇོམས་དཔའ་བོ་སུམ་སྦྱོར།	བསིལ་བ། བཟི་མེད།	གཉན་ཚད་ཆམ་རིམས་སོགས་ལ་ཕན། །ཁྱད་པར་དུག་རིགས་འཇོམས་པའི་མཆོག །གཉེན་པོ་བདུན་སྦྱོར།	དྲོ་བ། བཟི་མེད།	ཤ་པགས་རྩ་རུས་དོན་སྣོད་གར་བབས་པའི། །གཉན་སྲིན་པརྦ་ཏ་ལ་ཐེངས་པས་ཆོག །
གཉེན་པོ་བཅུ་བདུན།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མཆོག་ཏུ་མཆིན་མཁྲིས་ཕོ་བར་བབས་པའི་རིགས། །འཇོམས་པར་བྱེད་པའི་གཉེན་པོ་བཅུ་བདུན་པ། །སྦྱོར་ངན་དུག་གི་ནད་ཀྱི་གཡུལ་ལས་རྒྱལ། །
མཉམ་སྦྱོར་ཁྱུང་བརྒྱད།	བསིལ་བ། བཟི་ཡོད།	ལྕེ་འབམ་གག་པ་ལ་སོགས་གཉན་ནད་འཇོམས། །
མཉམ་སྦྱོར་ལྔ་པ། (ཁྱུང་ལྔ་མདོག་བཞི།)	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཆེ།	ཁོག་སྲིན་འཇོམས་ཤིང་གཉན་སྐྲངས་རིགས་ལ་ཕན།<68>
སྙ་ལོ་སུམ་ཐང་།	བསིལ་བ། བཟི་མེད།	རྒྱུ་ལོང་སྣོད་ཀྱི་ཚད་པ་མ་ལུས་སེལ། །
སྙིང་ནད་ཀུན་ཕན།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྙིང་ནད་སྤྱི་དང་ཁྱད་པར་སྙིང་གཟེར་འཇོམས། །
སྙིང་ཞོ་བདུན་པ།	དྲོ་བ། བཟི་མེད།	སྙིང་ནད་ཚ་གྲང་ཐམས་ཅད་དང་། །ཁྱད་པར་ཡིད་མི་བདེ་བ་སེལ། །<69>
ཏང་ཀུན་བརྒྱད་པ། (འཆི་མེད་ཨར་བརྒྱད།)	བསིལ་བ། བཟི་མེད།	ཁྲག་ཤེད་མཐོ་བའི་སྙིང་གི་ནད་ལ་ཕན་པ་ཡིན།
ཏིག་ཏ་ལྔ་ཐང་།	བསིལ་ཆེ། བཟི་མེད།	མཁྲིས་ཚད་སྨིན་སྡུད་སེལ་བར་བྱེད་པའི་མཆོག་། ཁྱད་པར་མཁྲིས་རིམས་རྒྱས་ཚད་སྨིན་པར་བྱེད། །
ཏིག་ཏ་དྲུག་ཐང་།	ཅུང་བསིལ། བཟི་མེད།	ཁྲག་ངན་རྩད་ནས་འབྱིན་པར་བྱེད།
ཏིག་ཏ་བརྒྱད་པ།	བསིལ་ཆེ། བཟི་མེད།	ཏིག་ཏ་བརྒྱད་པ་ཞེས་སུ་གྲགས་པ་འདིས། །མཁྲིས་ཚད་མིག་ཆུ་ཤ་མདངས་སེར་བ་འཇོམས། །
ཏིག་ཏ་དགུ་པ།	བསིལ་བ། བཟི་མེད།	མཁྲིས་ཚད་སེལ་བར་བྱེད།<70>
ཏིག་ཏ་བཅུ་པའི་སྤྱིན་ཤུབ།	བསིལ་བ། བཟི་མེད།	ལུས་ཀྱི་དྲོད་ཁམས་ཀྱི་ཆ་དག་ཚད་ལས་ལྷག་པར་འཕེལ་བའི་མཁྲིས་ཚད་ཀྱི་གཉན་གཟེར་གཅོག་པ་དང་། དེ་ལས་གྱུར་པའི་མགོ་བོ་ན་བ་དང༌། ཞེ་མེར་ལངས་པ། སྐྱུག་ལྡང་བྱེད་པ། ཁ་ཏིག་བྲོ་བ། སྐོམ་དད་ཆེ་བ་བཅས་ཀྱི་རྟགས་རྣམས་སེལ་ཏེ་མཁྲིས་ཚད་གཞོམ་པར་བྱེད་ཅིང་། མཆིན་པར་ཚ་བ་ཞུགས་པའི་ནད། མཆིན་མཁྲིས་ཡུལ་དུ་བབས་པའི་མ་སྨིན་གསར་དུས་ཀྱི་གཉན་རིམས་མཁྲིས་པ་རྩར་རྒྱུག་བཅས་ལ་ཕན་པ་ཡིན།
ཏིག་ཏ་ཉེར་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཏིག་ཏ་ཉེར་ལྔའི་སྦྱོར་བ་འདིས། །ནད་གཞི་སྣོད་མཁྲིས་ལས་སྐྱེས་པའི། །མཁྲིས་ནད་ཚ་གྲང་མ་ལུས་སེལ། །
རྟ་ཟི་དམར་པོ། (བསིལ་སྦྱོར་བཅོ་ལྔ།)	བསིལ་ཆེ། བཟི་ཆེ།	རིལ་བུ་རྟ་ཟི་དམར་པོ་འདི། །ཚོད་རིམས་གཉན་དང་བསྡོངས་པ་ཡི། །བལ་ནད་འབྲུམ་པ་རྒྱུག་འགྱེལ་དང་། །མིག་སེར་གག་ལྷོག་གཉན་སྐྲངས་སོགས། །ཚད་རིམས་བཞི་བརྒྱ་རྩ་བཞིའི་ནད། །ཐམས་ཅད་སེལ་བ་ཐེ་ཚོམ་མེད། །སྐབས་མཚམས་ཐང་གིས་ཁ་བསྒྱུར་བྱ། །
རྟ་པགས་གསུམ་པའི་ཁཎྜ།	ཅུང་བསིལ། བཟི་མེད།	མགོ་ཡི་རྨ་རིགས་ཀུན་ལ་ཕན།
ཏྲ་ཡ་མ་ནུའི་ཐང་སྦྱོར།	ཅུང་བསིལ། བཟི་མེད།	འདུས་པའི་རིམས་དང་རིམས་ཆམ་མིག་སེར་དང་། །སྐྱ་རྦབ་འོར་ནད་མ་ལུས་སེལ་བར་བྱེད། །
སྟག་ཤའི་ཁཎྜ།	བསིལ་འབྲིང་། བཟི་འབྲིང་།	རྨ་རིགས་གཉན་སྐྲངས་གཉན་ཚད་གཅོད་པར་བྱེད། །
སྟག་ཤ་གསུམ་པ།	ཅུང་བསིལ། བཟི་མེད།	ཤ་ཡི་རྨ་རྣམས་གསོ་བར་བྱེད།
སྟག་ཤ་བརྒྱད་སྦྱོར།	བསིལ་བ། བཟི་མེད།	རུས་ཆགས་གསོ་ཞིང་ཤ་རོ་གཅོད་པའི་མཆོག །ཤའུ་གསོ་ཞིང་རྨ་རྣམས་རང་འབྱོར་བྱེད། །ཕྱི་ནས་འདེབས་ཤིང་ནང་དུ་བཏང་བ་ཡིན། །རུས་ཆག་གསོ་ན་སྤྱི་བཞུར་ཁུ་བས་དབུལ། །རྣག་མང་གསོ་ན་སྨན་རྟ་ཆུ་གྲང་བྱ། །
སྟག་ཤ་ཉེར་ལྔ།	བསིལ་བ། བཟི་མེད།	སྟག་ཤ་ཉེར་ལྔ་ཞེས་པ་འདི། །ལྐོག་རིགས་དུག་སོགས་གང་ལ་ཡང་། །ནུས་པ་གནམ་ལྕགས་ཐོག་ལས་མྱུར། །<72>
སྟབ་སེང་བརྒྱུད་པ།	བསིལ་བ། བཟི་མེད།	སྟབ་སེང་བརྒྱད་པས་བརྡབས་ཆག་རྨས་སྐྱོན་གྱིས། །རུས་པར་གཉན་ཚད་སྐྱེས་ནས་རྣག་ཆུ་འཛག །སྒལ་ཚིགས་ཁ་བྲལ་འབུར་དུ་དོན་པ་ཡི། །རྣག་ཆུ་བསགས་སོགས་རུས་གཅོང་གཉན་ཚད་སེལ། །
སྟར་བུ་པཉྩ།	བསིལ་བ། བཟི་མེད།	གློ་བའི་རྣག་ཁྲག་འདྲེན་པར་བྱེད་པ་ཡིན།
སྟར་བུ་སུམ་སྦྱོར།	དྲོ་བ། བཟི་མེད།	ཕོ་བའི་བེ་སྣབས་ཁ་ལ་འཕོང་། །སྐྲན་གྱི་བྲག་རི་ཐལ་བར་རློག །གྲང་རྣག་མཚོ་མོ་གཏིང་ནས་སྐེམ། །ཁོང་འབྲས་རི་བོ་རྩེ་ནས་བརྙིལ། །བྱ་སླ་དོན་ཆེ་ཤིན་ཏུ་ཟབ། །
སྟར་བུ་ལྔ་བ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མགུལ་འགག་ནད་ཀྱི་གཉེན་པོ་ཡིན།
སྟར་བུ་དྲུག་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།<73>	ཁྲག་ཚབས་ཁྲག་སྐྲན་སེལ།
སྟར་བུ་བདུན་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མོ་ནད་ཁྲག་ཚབས་སེལ་བར་བྱེད། །
སྟར་བྱང་།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྟར་བྱང་འདི་ནི་གཡང་ལྷུང་རྡོ་དབྱུག་ཕོག །དབུགས་མ་ཐོན་དང་ཁྲག་རླུང་སྟོད་འཚངས་དང་། །ངན་ཁྲག་སྟོད་ལྷུང་སྨུག་པོ་འགྱིངས་འགྲིལ་དང༌། །མ་ཞུ་སྐྲན་དང་ཤ་དུག་བཙན་དུག་སོགས། །མ་ལུས་སེལ་བྱེད་ནད་བརྒྱ་སྨན་གཅིག་ཡིན། །
སྟར་ཁྱུང་། །	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཅུང་ཡོད།	སྟར་ཁྱུང་བརྡབས་ཚག་རུས་གས་ཟུག་གཟེར་ཆེ། །འགྲམས་འཁྲུགས་རླུང་ཁྲག་འཐབ་དང་གློ་ལུ་མང་། །གཉན་སྐྲངས་གཞོམ་ཞིང་གཉན་ཚད་རྒྱས་པ་འཇོམས། །
སྟར་བུ་བཅུ་གཅིག	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བུད་མེད་རྒྱུ་ལོང་ཁྲག་མཁར་བཤིག་པར་བྱེད། །ཕོ་ལོང་རྒྱུ་མར་འཕོ་ཞིང་སྲིན་ལྟར་གཟེར། །མཁལ་རྐེད་དཔྱི་མིག་སྨད་དུ་ཁོལ་བ་དང་། །ཁྱད་པར་རྒྱུ་ཞབས་ཆུ་ཁུང་གཟེར་བ་སོགས། །ཚབས་བཅུ་མངལ་སྐྲན་དགུ་ཡི་བདུད་རྩི་ཡིན། །<74>
ལྟར་བུ་བཅོ་བརྒྱད།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཁྲག་ཚབས་ཕོ་མཆིན་མཁལ་མར་བབས་པ་དང་། །ཟླ་མཚན་འགྱིང་འདྲིལ་འགགས་པ་ལ་སོགས་པ། །སྐྲན་ནད་མ་ལུས་འཇོམས་པའི་བདུད་རྩི་ཡིན། །
སྟར་བུ་བཅུ་དགུ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྟར་བུ་བཅུ་དགུ་ལོ་བརྒྱད་དྲི་ཆུས་དབུལ། །མ་ཞུ་བད་ཀན་དང་ག་མི་བདེ་ཞིང་། །ཁ་ཟས་མི་འཇུ་ཕོ་བ་སྦོས་ཞིང་སྒྲོགས། །ཁྱད་པར་མོ་ནད་ཁྲག་ཚབས་ཁྲག་སྐྲན་སེལ། །
སྟོང་ཟིལ་དྲུག་པ།	བསིལ་བ། བཟི་ཅུང་ཡོད།	རྣོ་བཏོན་ཁྱི་དུག་ངེས་པར་འཇོམས།
སྟོད་ལུགས་སྨན་སེར་ཆེན་མོ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཆེ།	གསུམ་འཁྲིལ་བལ་ནད་མིག་སེར་ཅོག་འགྱེལ་དང་། །རིམས་རིགས་སྤོ་ཡོར་ཁྲག་མཁྲིས་རྩར་རྒྱུག་སོགས། །གཉན་ནད་མ་ལུས་ཀུན་ལ་འདི་རང་ལྷག །ཁྱད་པར་ཚད་པ་གཉན་བསྡོངས་སྨིན་མ་སྨིན། །མ་ཤེས་སྟོབས་ཆེན་ནད་ལ་ཞི་བྱེད་དུ། །བསྟེན་ན་མྱོང་བས་གྲུབ་པ་ཁྱད་པར་འཕགས། །<75>
ཐང་ཆེན་བདུན་པ།	བསིལ་བ། བཟི་མེད།	རྒྱས་ཚད་སེལ།
ཐང་ཆེན་བརྒྱད་པ།	བསིལ་བ། བཟི་མེད།	གཉན་ཚད་གཟེར་ཐུང་འཇོམས།
